INCIDENT_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTDATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT_ID,PRECINCT_ID,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,MJ_RELATION_TYPE,NEIGHBORHOOD_ID,Year
2019210756,4/4/2019,4/4/2019,4/5/2019,695 N BRYANT ST,3135298,1690109,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",sun-valley,2019
2019195497,3/28/2019,3/28/2019,3/29/2019,330 N FEDERAL BLVD,3133715,1688115,4,411,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",valverde,2019
2015616118,10/21/2015,10/21/2015,10/21/2015,1224 S MARIPOSA ST,3140038,1678163,4,422,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,"NON-INDUSTRY",ruby-hill,2015
2016141178,3/4/2016,3/5/2016,3/5/2016,777 N CANOSA CT,3134946,1690779,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",sun-valley,2016
2016344235,6/1/2016,6/2/2016,6/2/2016,734 N SHERIDAN BLVD,3125934,1690577,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",villa-park,2016
2016200139,3/31/2016,,3/31/2016,1350 N XENIA ST,3172805,1694331,2,223,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",east-colfax,2016
2016736487,11/17/2016,11/17/2016,11/17/2016,2675 S SANTA FE DR,3141308,1668710,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland,2016
2019210209,4/4/2019,4/4/2019,4/4/2019,5141 N FRANKLIN ST,3149177,1712959,1,112,2404,THEFT - OF MOTOR VEHICLE,Auto Theft,"INDUSTRY",elyria-swansea,2019
2015471228,8/17/2015,8/17/2015,8/17/2015,E 16TH AVE / N PEARL ST,3146260,1695452,6,621,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",north-capitol-hill,2015
2018560182,8/17/2018,,8/17/2018,7870 W QUINCY AVE,3116932,1657685,4,423,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",marston,2018
2015239429,5/2/2015,,5/2/2015,1115 S BANNOCK ST,3143433,1678882,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland,2015
2019170712,3/18/2019,3/18/2019,3/18/2019,1136 N YUMA CT,3136560,1692717,1,123,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",lincoln-park,2019
2015700864,12/1/2015,12/2/2015,12/2/2015,3814 WALNUT ST,3148591,1705976,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cole,2015
20185005171,11/15/2018,,11/19/2018,4500 N JASON ST,3140782,1708915,1,112,7399,PUBLIC ORDER CRIMES - OTHER,All Other Crimes,"INDUSTRY",sunnyside,2018
2015126545,3/7/2015,3/7/2015,3/7/2015,777 N UMATILLA ST,3137179,1690589,1,123,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",lincoln-park,2015
2019305480,5/14/2019,5/16/2019,5/16/2019,399 S HARRISON ST,3157075,1683778,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",belcaro,2019
2019305403,5/16/2019,5/16/2019,5/16/2019,135 S BROADWAY ST,3144052,1685399,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",baker,2019
2018430318,6/27/2018,6/27/2018,6/27/2018,330 S DAYTON ST,3175842,1683494,3,321,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",windsor,2018
2018701946,10/12/2018,10/12/2018,10/13/2018,N DAHLIA ST / E 33RD AVE,3159722,1703387,2,221,1313,ASSAULT - SIMPLE,Simple Assault,"NON-INDUSTRY",northeast-park-hill,2018
2015448783,8/7/2015,,8/7/2015,6302 E COLFAX AVE,3164607,1694932,2,222,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,"INDUSTRY",montclair,2015
2016619671,9/26/2016,,9/27/2016,577 S JASON ST,3140880,1682492,4,412,2399,THEFT - OTHER,Larceny,"INDUSTRY",athmar-park,2016
